sweep,iteration,magnetization,magnetization_per_site,abs_magnetization_per_site,energy_per_site,acceptance_rate
184,47104,138,0.5390625000,0.5390625000,-1.5937500000,0.1796875000
185,47360,156,0.6093750000,0.6093750000,-1.5468750000,0.1601562500
186,47616,168,0.6562500000,0.6562500000,-1.5156250000,0.1796875000
187,47872,150,0.5859375000,0.5859375000,-1.4843750000,0.2148437500
188,48128,160,0.6250000000,0.6250000000,-1.5937500000,0.0820312500
189,48384,142,0.5546875000,0.5546875000,-1.4687500000,0.1367187500
190,48640,140,0.5468750000,0.5468750000,-1.4218750000,0.1523437500
191,48896,146,0.5703125000,0.5703125000,-1.5937500000,0.1367187500
192,49152,156,0.6093750000,0.6093750000,-1.4375000000,0.1367187500
193,49408,172,0.6718750000,0.6718750000,-1.4843750000,0.1796875000
194,49664,150,0.5859375000,0.5859375000,-1.5000000000,0.1835937500
195,49920,152,0.5937500000,0.5937500000,-1.3906250000,0.1367187500
196,50176,170,0.6640625000,0.6640625000,-1.4375000000,0.1992187500
197,50432,170,0.6640625000,0.6640625000,-1.5000000000,0.1640625000
198,50688,166,0.6484375000,0.6484375000,-1.4218750000,0.2109375000
199,50944,174,0.6796875000,0.6796875000,-1.4062500000,0.1875000000
200,51200,194,0.7578125000,0.7578125000,-1.6406250000,0.1484375000
201,51456,212,0.8281250000,0.8281250000,-1.5625000000,0.1210937500
202,51712,216,0.8437500000,0.8437500000,-1.6093750000,0.1093750000
203,51968,224,0.8750000000,0.8750000000,-1.7187500000,0.1093750000
204,52224,214,0.8359375000,0.8359375000,-1.7343750000,0.0898437500
205,52480,228,0.8906250000,0.8906250000,-1.6718750000,0.0976562500
206,52736,234,0.9140625000,0.9140625000,-1.7500000000,0.0976562500
207,52992,244,0.9531250000,0.9531250000,-1.8281250000,0.0742187500
208,53248,228,0.8906250000,0.8906250000,-1.6562500000,0.0859375000
209,53504,238,0.9296875000,0.9296875000,-1.7812500000,0.0742187500
210,53760,246,0.9609375000,0.9609375000,-1.8593750000,0.0390625000
211,54016,248,0.9687500000,0.9687500000,-1.8750000000,0.0429687500
212,54272,252,0.9843750000,0.9843750000,-1.9375000000,0.0625000000
213,54528,240,0.9375000000,0.9375000000,-1.7812500000,0.0625000000
214,54784,242,0.9453125000,0.9453125000,-1.8281250000,0.0585937500
215,55040,244,0.9531250000,0.9531250000,-1.8281250000,0.0351562500
216,55296,248,0.9687500000,0.9687500000,-1.8906250000,0.0468750000
217,55552,238,0.9296875000,0.9296875000,-1.7656250000,0.0585937500
218,55808,238,0.9296875000,0.9296875000,-1.7656250000,0.0859375000
219,56064,234,0.9140625000,0.9140625000,-1.6718750000,0.0781250000
220,56320,240,0.9375000000,0.9375000000,-1.8125000000,0.0898437500
221,56576,236,0.9218750000,0.9218750000,-1.7968750000,0.0937500000
222,56832,238,0.9296875000,0.9296875000,-1.7656250000,0.0507812500
223,57088,244,0.9531250000,0.9531250000,-1.8125000000,0.0507812500
224,57344,250,0.9765625000,0.9765625000,-1.9062500000,0.0429687500
225,57600,248,0.9687500000,0.9687500000,-1.8750000000,0.0273437500
226,57856,252,0.9843750000,0.9843750000,-1.9375000000,0.0546875000
227,58112,246,0.9609375000,0.9609375000,-1.8437500000,0.0351562500
228,58368,236,0.9218750000,0.9218750000,-1.7500000000,0.0898437500
229,58624,222,0.8671875000,0.8671875000,-1.6562500000,0.1132812500
230,58880,214,0.8359375000,0.8359375000,-1.5468750000,0.1406250000
231,59136,208,0.8125000000,0.8125000000,-1.5312500000,0.1367187500
232,59392,204,0.7968750000,0.7968750000,-1.5156250000,0.1640625000
233,59648,174,0.6796875000,0.6796875000,-1.3593750000,0.1835937500
234,59904,172,0.6718750000,0.6718750000,-1.4687500000,0.1835937500
235,60160,172,0.6718750000,0.6718750000,-1.4687500000,0.1015625000
236,60416,190,0.7421875000,0.7421875000,-1.4843750000,0.1992187500
237,60672,186,0.7265625000,0.7265625000,-1.4687500000,0.1484375000
238,60928,186,0.7265625000,0.7265625000,-1.4843750000,0.2109375000
239,61184,184,0.7187500000,0.7187500000,-1.3906250000,0.1367187500
240,61440,170,0.6640625000,0.6640625000,-1.3906250000,0.1835937500
241,61696,178,0.6953125000,0.6953125000,-1.5000000000,0.2265625000
242,61952,174,0.6796875000,0.6796875000,-1.5468750000,0.1562500000
243,62208,190,0.7421875000,0.7421875000,-1.5781250000,0.1562500000
244,62464,202,0.7890625000,0.7890625000,-1.5937500000,0.1562500000
245,62720,206,0.8046875000,0.8046875000,-1.6093750000,0.1406250000
246,62976,218,0.8515625000,0.8515625000,-1.6875000000,0.0781250000
247,63232,226,0.8828125000,0.8828125000,-1.7187500000,0.0937500000
248,63488,224,0.8750000000,0.8750000000,-1.6562500000,0.1132812500
249,63744,226,0.8828125000,0.8828125000,-1.6093750000,0.1445312500
250,64000,232,0.9062500000,0.9062500000,-1.6875000000,0.0742187500
251,64256,240,0.9375000000,0.9375000000,-1.7812500000,0.0703125000
252,64512,234,0.9140625000,0.9140625000,-1.7500000000,0.0664062500
253,64768,228,0.8906250000,0.8906250000,-1.6562500000,0.0664062500
254,65024,226,0.8828125000,0.8828125000,-1.7187500000,0.0976562500
255,65280,236,0.9218750000,0.9218750000,-1.7656250000,0.0820312500
256,65536,232,0.9062500000,0.9062500000,-1.7187500000,0.0625000000
257,65792,242,0.9453125000,0.9453125000,-1.8125000000,0.0742187500
258,66048,242,0.9453125000,0.9453125000,-1.8125000000,0.0703125000
259,66304,236,0.9218750000,0.9218750000,-1.7656250000,0.0351562500
260,66560,236,0.9218750000,0.9218750000,-1.7031250000,0.0546875000
261,66816,226,0.8828125000,0.8828125000,-1.6093750000,0.0820312500
262,67072,232,0.9062500000,0.9062500000,-1.6875000000,0.0898437500
263,67328,232,0.9062500000,0.9062500000,-1.6718750000,0.0859375000
264,67584,232,0.9062500000,0.9062500000,-1.7343750000,0.0859375000
265,67840,238,0.9296875000,0.9296875000,-1.7500000000,0.0820312500
266,68096,240,0.9375000000,0.9375000000,-1.8281250000,0.0742187500
267,68352,236,0.9218750000,0.9218750000,-1.7500000000,0.0859375000
268,68608,244,0.9531250000,0.9531250000,-1.8281250000,0.0781250000
269,68864,248,0.9687500000,0.9687500000,-1.8906250000,0.0703125000
270,69120,248,0.9687500000,0.9687500000,-1.8906250000,0.0234375000
271,69376,244,0.9531250000,0.9531250000,-1.8437500000,0.0703125000
272,69632,248,0.9687500000,0.9687500000,-1.8750000000,0.0468750000
273,69888,238,0.9296875000,0.9296875000,-1.7812500000,0.0976562500
274,70144,234,0.9140625000,0.9140625000,-1.7500000000,0.0546875000
275,70400,228,0.8906250000,0.8906250000,-1.7500000000,0.0742187500
276,70656,226,0.8828125000,0.8828125000,-1.7031250000,0.0820312500
277,70912,226,0.8828125000,0.8828125000,-1.7031250000,0.0859375000
278,71168,218,0.8515625000,0.8515625000,-1.6250000000,0.1093750000
279,71424,212,0.8281250000,0.8281250000,-1.5000000000,0.1289062500
280,71680,226,0.8828125000,0.8828125000,-1.6250000000,0.1054687500
281,71936,218,0.8515625000,0.8515625000,-1.5625000000,0.1406250000
282,72192,220,0.8593750000,0.8593750000,-1.5625000000,0.1367187500
283,72448,228,0.8906250000,0.8906250000,-1.6562500000,0.0937500000
284,72704,234,0.9140625000,0.9140625000,-1.7031250000,0.0976562500
285,72960,240,0.9375000000,0.9375000000,-1.7968750000,0.0742187500
286,73216,244,0.9531250000,0.9531250000,-1.8281250000,0.0546875000
287,73472,246,0.9609375000,0.9609375000,-1.8593750000,0.0898437500
288,73728,236,0.9218750000,0.9218750000,-1.7500000000,0.0664062500
289,73984,232,0.9062500000,0.9062500000,-1.7812500000,0.0859375000
290,74240,248,0.9687500000,0.9687500000,-1.9062500000,0.0781250000
291,74496,232,0.9062500000,0.9062500000,-1.7343750000,0.0937500000
292,74752,240,0.9375000000,0.9375000000,-1.7968750000,0.0937500000
293,75008,238,0.9296875000,0.9296875000,-1.8437500000,0.0429687500
294,75264,244,0.9531250000,0.9531250000,-1.8593750000,0.0507812500
295,75520,244,0.9531250000,0.9531250000,-1.8281250000,0.0468750000
296,75776,244,0.9531250000,0.9531250000,-1.8125000000,0.0468750000
297,76032,238,0.9296875000,0.9296875000,-1.7656250000,0.0351562500
298,76288,234,0.9140625000,0.9140625000,-1.6875000000,0.0859375000
299,76544,230,0.8984375000,0.8984375000,-1.6406250000,0.1250000000
300,76800,216,0.8437500000,0.8437500000,-1.5625000000,0.1445312500
301,77056,210,0.8203125000,0.8203125000,-1.5468750000,0.1132812500
302,77312,238,0.9296875000,0.9296875000,-1.8281250000,0.1250000000
303,77568,234,0.9140625000,0.9140625000,-1.7500000000,0.0703125000
304,77824,230,0.8984375000,0.8984375000,-1.7031250000,0.0781250000
305,78080,204,0.7968750000,0.7968750000,-1.6093750000,0.1445312500
306,78336,228,0.8906250000,0.8906250000,-1.6562500000,0.1484375000
307,78592,244,0.9531250000,0.9531250000,-1.8281250000,0.0859375000
308,78848,244,0.9531250000,0.9531250000,-1.8125000000,0.0546875000
309,79104,244,0.9531250000,0.9531250000,-1.8281250000,0.0546875000
310,79360,234,0.9140625000,0.9140625000,-1.7656250000,0.0742187500
311,79616,236,0.9218750000,0.9218750000,-1.7812500000,0.0898437500
312,79872,230,0.8984375000,0.8984375000,-1.6875000000,0.0664062500
313,80128,244,0.9531250000,0.9531250000,-1.8437500000,0.0742187500
