step,x,y,u
0,31,5,3.045981268956e-08
0,32,5,1.521016194693e-08
0,33,5,6.963719577255e-09
0,34,5,2.923139465294e-09
0,35,5,1.125015807812e-09
0,36,5,3.969799196820e-10
0,37,5,1.284337846586e-10
0,38,5,3.809700611026e-11
0,39,5,1.036103738938e-11
0,40,5,2.583547558267e-12
0,41,5,5.906504052940e-13
0,42,5,1.238070507750e-13
0,43,5,2.379365042035e-14
0,44,5,4.192543728823e-15
0,45,5,6.773216407616e-16
0,46,5,1.003259148529e-16
0,47,5,0.000000000000e+00
0,0,6,0.000000000000e+00
0,1,6,4.786281710000e-16
0,2,6,3.231320826446e-15
0,3,6,2.000150748394e-14
0,4,6,1.135131575805e-13
0,5,6,5.906504052940e-13
0,6,6,2.817835487479e-12
0,7,6,1.232541606341e-11
0,8,6,4.942974487314e-11
0,9,6,1.817506511838e-10
0,10,6,6.127233181564e-10
0,11,6,1.893885275402e-09
0,12,6,5.367150244568e-09
0,13,6,1.394551844260e-08
0,14,6,3.322204805713e-08
0,15,6,7.256362430333e-08
0,16,6,1.453156391146e-07
0,17,6,2.668127461155e-07
0,18,6,4.491605608105e-07
0,19,6,6.932621413829e-07
0,20,6,9.810568611087e-07
0,21,6,1.272892421265e-06
0,22,6,1.514223731316e-06
0,23,6,1.651540476750e-06
0,24,6,1.651540476750e-06
0,25,6,1.514223731316e-06
0,26,6,1.272892421265e-06
0,27,6,9.810568611087e-07
0,28,6,6.932621413829e-07
0,29,6,4.491605608105e-07
0,30,6,2.668127461155e-07
0,31,6,1.453156391146e-07
0,32,6,7.256362430333e-08
0,33,6,3.322204805713e-08
0,34,6,1.394551844260e-08
0,35,6,5.367150244568e-09
0,36,6,1.893885275402e-09
0,37,6,6.127233181564e-10
0,38,6,1.817506511838e-10
0,39,6,4.942974487314e-11
0,40,6,1.232541606341e-11
0,41,6,2.817835487479e-12
0,42,6,5.906504052940e-13
0,43,6,1.135131575805e-13
0,44,6,2.000150748394e-14
0,45,6,3.231320826446e-15
0,46,6,4.786281710000e-16
0,47,6,0.000000000000e+00
0,0,7,0.000000000000e+00
0,1,7,2.093554209768e-15
0,2,7,1.413403081809e-14
0,3,7,8.748803921682e-14
0,4,7,4.965147547003e-13
0,5,7,2.583547558267e-12
0,6,7,1.232541606341e-11
0,7,7,5.391226060262e-11
0,8,7,2.162092762963e-10
0,9,7,7.949904831533e-10
0,10,7,2.680096074306e-09
0,11,7,8.283991063150e-09
0,12,7,2.347630304647e-08
0,13,7,6.099870549178e-08
0,14,7,1.453156391146e-07
0,15,7,3.173985367783e-07
0,16,7,6.356211072532e-07
0,17,7,1.167058233708e-06
0,18,7,1.964660753215e-06
0,19,7,3.032378707532e-06
0,20,7,4.291213610150e-06
0,21,7,5.567723440837e-06
0,22,7,6.623324031691e-06
0,23,7,7.223957399914e-06
0,24,7,7.223957399914e-06
0,25,7,6.623324031691e-06
0,26,7,5.567723440837e-06
0,27,7,4.291213610150e-06
0,28,7,3.032378707532e-06
0,29,7,1.964660753215e-06
0,30,7,1.167058233708e-06
0,31,7,6.356211072532e-07
0,32,7,3.173985367783e-07
0,33,7,1.453156391146e-07
0,34,7,6.099870549178e-08
0,35,7,2.347630304647e-08
0,36,7,8.283991063150e-09
0,37,7,2.680096074306e-09
0,38,7,7.949904831533e-10
0,39,7,2.162092762963e-10
0,40,7,5.391226060262e-11
0,41,7,1.232541606341e-11
0,42,7,2.583547558267e-12
0,43,7,4.965147547003e-13
0,44,7,8.748803921682e-14
0,45,7,1.413403081809e-14
0,46,7,2.093554209768e-15
0,47,7,0.000000000000e+00
0,0,8,0.000000000000e+00
0,1,8,8.395972187429e-15
0,2,8,5.668299826737e-14
0,3,8,3.508612963399e-13
0,4,8,1.991218594513e-12
0,5,8,1.036103738938e-11
0,6,8,4.942974487314e-11
0,7,8,2.162092762963e-10
0,8,8,8.670838624470e-10
0,9,8,3.188223144489e-09
